id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length,decoded_actions
80E3X,DYEW,Bedroom,7.0,7.0,Yes,A person awakens in bed and stands up. The person turns on the light and begins eating a bag of chips. The person looks at a picture hanging on the wall.,bag;bed;food;light;picture,"A person awakens.  They sit up, turn on a light, grab a bag of food and begin eating while looking at a picture on a wall.",c134 0.00 6.90;c020 12.00 31.00;c063 16.80 22.30;c156 19.00 31.00;c135 6.20 31.00;c104 8.80 14.10;c021 12.00 23.00;c146 0.00 10.80;c088 16.10 31.00;c133 0.90 7.80;c061 12.00 31.00,30.33,c134 0.00 6.90 (Lying on a bed);c020 12.00 31.00 (Holding a bag);c063 16.80 22.30 (Taking food from somewhere);c156 19.00 31.00 (Someone is eating something);c135 6.20 31.00 (Sitting in a bed);c104 8.80 14.10 (Turning on a light);c021 12.00 23.00 (Opening a bag);c146 0.00 10.80 (Someone is awakening somewhere);c088 16.10 31.00 (Watching/looking at a picture);c133 0.90 7.80 (Someone is awakening in bed);c061 12.00 31.00 (Holding some food)
2L7MW,25TD,Bathroom,6.0,6.0,Yes,A person standing in a bathroom watches a book in front of a mirror.,book;mirror,A person is standing in the bathroom. The person is looking at a book while standing near the bathroom mirror.,c025 3.50 8.40;c026 0.00 32.00;c027 0.00 3.10;c032 0.00 32.00,31.25,c025 3.50 8.40 (Closing a book);c026 0.00 32.00 (Holding a book);c027 0.00 3.10 (Opening a book);c032 0.00 32.00 (Watching/Reading/Looking at a book)
BDWIX,C7O9,Laundry room,7.0,6.0,Yes,A person takes off their shoes and begins washing clothes and then sneezes.,blanket;clothes;shoe;towel,"A person takes off their shoes in front of their washing machine, and then loads it with dirty clothing.  They suddenly start violently sneezing.",c000 11.30 23.40;c001 10.10 22.20;c003 10.20 22.20;c005 9.80 23.60;c153 19.60 31.00;c057 0.00 9.70;c034 10.80 23.90;c035 8.60 15.00;c071 15.80 22.20;c004 18.40 23.80;c054 0.00 12.40,30.17,c000 11.30 23.40 (Holding some clothes);c001 10.10 22.20 (Putting clothes somewhere);c003 10.20 22.20 (Throwing clothes somewhere);c005 9.80 23.60 (Washing some clothes);c153 19.60 31.00 (Someone is sneezing);c057 0.00 9.70 (Taking off some shoes);c034 10.80 23.90 (Putting a towel/s somewhere);c035 8.60 15.00 (Taking a towel/s from somewhere);c071 15.80 22.20 (Putting a blanket somewhere);c004 18.40 23.80 (Tidying some clothes);c054 0.00 12.40 (Putting shoes somewhere)
E7CJ0,YMXV,Bedroom,6.0,6.0,Yes,A person is holding a camera while another person is sneezing into a blanket.,blanket;camera;phone,A person is taking a picture while a different person sneezes while holding a blanket.,c070 14.90 33.00;c015 0.00 20.70;c153 15.90 24.70;c152 29.00 33.00;c016 0.00 17.00,32.04,c070 14.90 33.00 (Holding a blanket);c015 0.00 20.70 (Holding a phone/camera);c153 15.90 24.70 (Someone is sneezing);c152 29.00 33.00 (Someone is smiling);c016 0.00 17.00 (Playing with a phone/camera)
N5Z8Z,3H6W,Kitchen,4.0,6.0,Yes,Person enters the dining room and closes the oven that was left open.  Immediately thereafter shoes and a sandwich are removed from the counter.,dish;food;oven;plate;sandwich;shoe,"A person closes an oven and grabs a plate and shoes.;A person is closing a dishwasher. A person then grabs a sandwich, and a pair of shoes.",c053 10.10 16.30;c118 9.20 16.90;c120 11.00 16.90;c054 9.30 24.00;c063 6.70 13.40;c061 8.00 18.50,23.21,c053 10.10 16.30 (Holding a shoe/shoes);c118 9.20 16.90 (Holding a dish);c120 11.00 16.90 (Taking a dish/es from somewhere);c054 9.30 24.00 (Putting shoes somewhere);c063 6.70 13.40 (Taking food from somewhere);c061 8.00 18.50 (Holding some food)
E7Q3R,3H6W,Dining room,4.0,6.0,Yes,"A person runs into their dining room, puts their coffee on the table, and takes off their shoes.",chair;coffee;cup;dish;shoe;table,"Person walks into the kitchen, places a cup of coffee on the table and removes his shoes.",c057 9.70 18.70;c151 3.80 9.80;c009 5.20 12.40;c154 18.60 23.40;c109 5.20 12.40;c107 3.00 12.10;c150 19.20 23.90;c118 2.90 12.10;c107 0.00 2.80;c059 0.00 23.00;c150 0.00 2.60;c011 4.00 23.10;c118 0.00 2.80,27.71,c057 9.70 18.70 (Taking off some shoes);c151 3.80 9.80 (Someone is going from standing to sitting);c009 5.20 12.40 (Putting something on a table);c154 18.60 23.40 (Someone is standing up from somewhere);c109 5.20 12.40 (Putting a cup/glass/bottle somewhere);c107 3.00 12.10 (Holding a cup/glass/bottle of something);c150 19.20 23.90 (Someone is running somewhere);c118 2.90 12.10 (Holding a dish);c107 0.00 2.80 (Holding a cup/glass/bottle of something);c059 0.00 23.00 (Sitting in a chair);c150 0.00 2.60 (Someone is running somewhere);c011 4.00 23.10 (Sitting at a table);c118 0.00 2.80 (Holding a dish)
DNB5L,KFGP,Laundry room,5.0,7.0,Yes,"A person grasps a box of laundry soap from the shelf, then pours the detergent into the machine and starts washing clothes.",box;clothes;shelf,"A person adjusts their pants.  A person then walks to a cabinet, picks up something, and interacts with a washer.",,35.17,
3ZOI4,T7C3,Home Office / Study (A room in a house used for work),7.0,7.0,Yes,A person is running into the study holding a camera begins throwing food on the floor.,bag;camera;chair;floor;food;groceries;phone,"A person is walking around a room holding bags and a camera they put one of the bags down untangle the others put another bag down then tie up the last bag and put it down.;A person is carrying a bag of groceries and a camera, they then set the groceries on the floor.",c015 0.00 10.20;c126 5.30 11.50;c020 0.00 24.70;c022 18.50 25.50;c130 18.50 25.50;c024 14.00 19.00,25.58,c015 0.00 10.20 (Holding a phone/camera);c126 5.30 11.50 (Throwing something on the floor);c020 0.00 24.70 (Holding a bag);c022 18.50 25.50 (Putting a bag somewhere);c130 18.50 25.50 (Putting groceries somewhere);c024 14.00 19.00 (Throwing a bag somewhere)
FX1T5,XXN8,Kitchen,7.0,7.0,Yes,A person sitting in a chair in a kitchen puts a picture in a book.,book;picture,"A standing person holds up a picture, then a book, then both together and reads the back of them.",c026 0.60 32.00;c084 0.00 32.00;c027 4.50 14.30;c032 8.30 32.00;c086 2.60 12.00;c088 3.80 11.70;c025 0.90 24.10,30.58,c026 0.60 32.00 (Holding a book);c084 0.00 32.00 (Holding a picture);c027 4.50 14.30 (Opening a book);c032 8.30 32.00 (Watching/Reading/Looking at a book);c086 2.60 12.00 (Putting a picture somewhere);c088 3.80 11.70 (Watching/looking at a picture);c025 0.90 24.10 (Closing a book)
WTBB2,PKND,Bedroom,6.0,,No,A person is using a vacuum to tide up the room. They kneel down with a broom getting the little pieces that couldn't be reached with the vacuum. They stand up and inspect their work.,book;floor;vacuum,"The person was standing up reading a book,then bent down and changed the vacuum  parts  holding  the book under a chin.;A person holding a book kneels down and fixes a vacuum on the floor.",c136 14.40 32.00;c026 0.00 32.00;c032 22.60 30.30;c137 3.00 32.00;c115 0.00 32.00;c125 1.90 32.00,31.42,c136 14.40 32.00 (Fixing a vacuum);c026 0.00 32.00 (Holding a book);c032 22.60 30.30 (Watching/Reading/Looking at a book);c137 3.00 32.00 (Holding a vacuum);c115 0.00 32.00 (Someone is holding a paper/notebook);c125 1.90 32.00 (Sitting on the floor)
